playername,teamname,position,champion,result,game_length_minutes,offense_dpm_adjusted,offense_kill_participation,offense_damage_per_gold,offense_damage_share,defense_deaths_per_min_adjusted,defense_damage_taken,defense_kda,utility_ward_score_adjusted,utility_assists,utility_assist_ratio,utility_fb_assist,macro_objective_participation_adjusted,macro_turret_plates,macro_vision_score_adjusted,multikill_score
Lwx,FunPlus Phoenix,bot,Samira,0,23.466666666666665,234.51321769335416,0.5,1.0349079870992222,0.184049,0.2533955015148029,513.4517,0.3333333333333333,0.46964420610562274,0,0.0,,,,0.8127064281215891,
Lwx,FunPlus Phoenix,bot,Xayah,0,26.266666666666666,476.640280784848,0.625,1.6378513923716511,0.244777,0.1509225322050941,543.6929,1.25,0.533959816242101,3,1.5,,,,0.6878445290746265,
Lwx,FunPlus Phoenix,bot,Kai'Sa,0,26.533333333333335,446.33733549757994,0.8,1.240515692697876,0.245083,0.07470286141809933,356.7588,4.0,1.3214754101406292,3,0.6,,,,1.475257389222072,
Lwx,FunPlus Phoenix,bot,Aphelios,0,24.033333333333335,412.2127888332673,0.625,1.8181818181818181,0.247743,0.1649472335334454,477.0042,1.25,0.33349947997560114,3,1.5,,,,0.37589052406018914,
Lwx,FunPlus Phoenix,bot,Aphelios,0,29.95,287.02364081716456,0.3333333333333333,1.221473623853211,0.183616,0.13236166430452326,378.3639,0.75,0.5686221232626951,3,3.0,,,,1.0054193269722067,
Lwx,FunPlus Phoenix,bot,Kai'Sa,0,23.55,597.7239387653437,0.5555555555555556,2.2595951417004048,0.268803,0.210415703074335,541.0616,1.0,0.5529940310799996,3,1.5,,,,0.6819226222870294,
Lwx,FunPlus Phoenix,bot,Kai'Sa,1,25.266666666666666,802.7895089849665,0.7368421052631579,2.007789095266627,0.320888,0.0,334.7889,14.0,1.0705243145146512,8,1.3333333333333333,,,,1.5492310384162935,
Lwx,FunPlus Phoenix,bot,Kai'Sa,0,32.86666666666667,893.3485786849953,0.9230769230769231,2.7557996401855887,0.369415,0.1507694667566102,525.2738,2.4,1.1581818828470787,7,1.4,,,,1.4047967355798148,
Lwx,FunPlus Phoenix,bot,Xayah,0,27.533333333333335,359.2632159828321,0.5,1.721988057604496,0.220627,0.17997420607992454,551.6949,0.8,0.6913427189280936,4,4.0,,,,0.9478061999199909,
Lwx,FunPlus Phoenix,bot,Varus,1,31.583333333333332,847.0135914021877,0.7777777777777778,2.334037496699234,0.331276,0.03137914389910664,397.4565,14.0,1.1101956254399556,8,1.3333333333333333,,,,1.6843308102146952,
Lwx,FunPlus Phoenix,bot,Xayah,1,32.266666666666666,708.0145817324625,0.6086956521739131,2.0532233203372927,0.262649,0.0921438187326556,415.1963,4.666666666666667,0.6519719482370719,8,1.3333333333333333,,,,0.8087919473636859,
Lwx,FunPlus Phoenix,bot,Jinx,1,25.516666666666666,749.0616131065251,0.8125,2.071733187534172,0.342639,0.03883963271639913,404.4807,13.0,0.7852114521023617,9,2.25,,,,1.0226831908275744,
Lwx,FunPlus Phoenix,bot,Kai'Sa,1,24.5,560.4642080775257,0.8,1.279109106287003,0.237426,0.08090269073307084,436.0,8.0,0.9404905731483759,10,1.6666666666666667,,,,1.229046586680111,
Lwx,Royal Never Give Up,bot,Varus,1,32.083333333333336,613.5479108410267,0.5789473684210527,1.7359166395310974,0.323578,0.0,338.8987,11.0,0.8887235631140333,4,0.5714285714285714,,,,1.595817924918772,
Lwx,Royal Never Give Up,bot,Lucian,1,25.383333333333333,438.2254692474138,0.2,1.7373125720876585,0.263183,0.08548517656773832,434.9311,0.5,0.5810771388432279,1,1.0,,,,0.8753378665590529,
Lwx,Royal Never Give Up,bot,Ezreal,1,35.96666666666667,1306.9410117609277,0.7727272727272727,3.4140797854508884,0.448449,0.09049623997636617,683.633,5.666666666666667,0.6560960655669813,8,0.8888888888888888,,,,0.9937755913577946,
Lwx,Royal Never Give Up,bot,Kalista,1,24.65,905.5586475744481,0.5142857142857142,2.6104933606822844,0.227076,0.044014173060400764,695.3753,18.0,0.43870832377639307,10,1.25,,,,0.6662846557397404,
Lwx,Royal Never Give Up,bot,Lucian,0,21.9,551.8922926479462,0.3333333333333333,3.3477371516236256,0.331831,0.09908213387569671,549.863,0.5,0.7632659608866291,1,1.0,,,,1.1468945096334926,
Lwx,Royal Never Give Up,bot,Xayah,1,32.916666666666664,407.23015960182477,0.4375,1.5809471965160589,0.186705,0.13184194826599036,617.4987,1.75,0.44804881924003204,6,6.0,,,,0.55760403551251,
