id,playername,teamname,year,split,final_offense,final_defense,final_utility,final_macro,final_clutch,final_consistency
14003,Garvey,LGD Gaming,2021,Spring,63.86331146681112,70.32001481272167,65.94623558926872,,58.99437995598312,65.59950125480141
14005,Hang,Rare Atom,2021,Spring,,,,,,
14008,ICON,LNG Esports,2021,Spring,,,,,,
14009,Insulator,eStar,2021,Spring,54.968474822950235,69.19047903035445,52.257648232665176,,50.0,56.162772775375316
14010,Invincible,Victory Five,2021,Spring,53.44256494147507,69.42677397316378,52.2666925805821,,50.0,53.3138949692032
14011,Iwandy,LNG Esports,2021,Spring,,,,,,
14017,Kane,Oh My God,2021,Spring,51.733829561972,68.47808701730747,52.395256146308185,,50.0,50.5553723070847
14023,Leyan,Rare Atom,2021,Spring,,,,,,
14024,Light,LNG Esports,2021,Spring,,,,,,
14035,New,Oh My God,2021,Spring,,,,,,
14042,Rookie,Invictus Gaming,2021,Spring,,,,,,
14047,Tarzan,LNG Esports,2021,Spring,,,,,,
14049,TheShy,Invictus Gaming,2021,Spring,,,,,,
14057,Wink,Invictus Gaming,2021,Spring,,,,,,
14058,Wuming,Oh My God,2021,Spring,,,,,,
14061,Xun,Invictus Gaming,2021,Spring,,,,,,
14063,Yimeng,Team WE,2021,Spring,51.31593182155,69.8520044165094,51.363303666854016,,50.0,50.97332351968062
14073,hulatang,LNG Esports,2021,Spring,,,,,,
14074,iBoy,Rare Atom,2021,Spring,,,,,,
14076,kelin,Rogue Warriors,2021,Spring,58.638246360223455,68.88989127839614,62.13571665197776,,51.418655446661305,57.015909712549856
14080,xiye,JD Gaming,2021,Spring,50.0,70.0,50.0,,50.0,50.0
14933,Able,Royal Never Give Up,2018,Summer,,,,75.0,75.0,
14934,AmazingJ,Bilibili Gaming,2018,Summer,,,,75.0,75.0,
14938,Chieftain,Bilibili Gaming,2018,Summer,,,,75.0,75.0,
14940,Doinb,Rogue Warriors,2018,Summer,,,,75.0,75.0,
14943,Flawless,Rogue Warriors,2018,Summer,,,,75.0,75.0,
14950,Jinjiao,Bilibili Gaming,2018,Summer,,,,75.0,75.0,
14951,Karsa,Royal Never Give Up,2018,Summer,,,,75.0,75.0,
14952,Killua,Rogue Warriors,2018,Summer,,,,75.0,75.0,
14958,Ming,Royal Never Give Up,2018,Summer,,,,75.0,75.0,
14959,Mole,Bilibili Gaming,2018,Summer,,,,75.0,75.0,
14960,Mouse,Rogue Warriors,2018,Summer,,,,75.0,75.0,
14963,Road,Bilibili Gaming,2018,Summer,,,,75.0,75.0,
14966,Smlz,Rogue Warriors,2018,Summer,,,,75.0,75.0,
14969,Xiaohu,Royal Never Give Up,2018,Summer,,,,75.0,75.0,
14972,Zz1tai,Royal Never Give Up,2018,Summer,,,,75.0,75.0,
16031,Jarvis,Team Flash,2021,Winter,,,,,,
16033,Jetsu,Team Flash,2021,Winter,,,,,,
16038,Marcus,Team Flash,2021,Winter,,,,,,
16039,Marcus,Team Flash,2021,Winter,,,,,,
16051,Soraaa,Team Flash,2021,Winter,,,,,,
