playername,teamname,position,champion,result,game_length_minutes,dpm,damageshare,vspm,turretplates,assists,firstbloodassist,kill_participation,damage_per_gold,deaths_per_minute,kda_ratio,damagetakenperminute,ward_score,assist_to_kill_ratio,objective_participation,multikill_score
Lwx,FunPlus Phoenix,bot,Lucian,1,24.566666666666666,361.7096,0.218532,1.0991,,2,,0.8,1.2287057522123894,0.0,4.0,362.0353,0.7327,1.0,,
Lwx,FunPlus Phoenix,bot,Aphelios,0,24.5,231.2245,0.198629,0.9388,,0,,0.0,0.9537037037037037,0.12244897959183673,0.0,380.7347,0.5714,0.0,,
Lwx,FunPlus Phoenix,bot,Jinx,0,29.116666666666667,340.4923,0.251478,1.1677,,1,,1.0,1.1786945666389252,0.10303377218088151,0.6666666666666666,404.4076,0.6869000000000001,1.0,,
Lwx,FunPlus Phoenix,bot,Aphelios,0,29.25,542.1197,0.268022,1.0598,,1,,0.5,2.0146105958582137,0.23931623931623933,0.7142857142857143,497.2991,0.6838,0.25,,
Lwx,FunPlus Phoenix,bot,Aphelios,0,36.983333333333334,649.8873,0.313465,0.7841,,2,,0.8461538461538461,1.6474741243402564,0.135196034249662,2.2,450.5813,0.5408,0.2222222222222222,,
Lwx,FunPlus Phoenix,bot,Jinx,0,25.116666666666667,642.641,0.412896,0.9954,,4,,1.0,2.6258337400357896,0.15925680159256803,1.0,516.0717,0.6768000000000001,4.0,,
Lwx,FunPlus Phoenix,bot,Aphelios,1,40.25,1370.4596,0.474884,1.3665,,3,,0.8461538461538461,3.559003806697206,0.07453416149068323,3.6666666666666665,632.6708,0.8694999999999999,0.375,,
Lwx,FunPlus Phoenix,bot,Xayah,0,32.81666666666667,462.3261,0.269726,1.4627,,3,,1.0,1.5080011927243813,0.030472320975114268,8.0,382.9152,1.0361,0.6,,
Lwx,FunPlus Phoenix,bot,Xayah,0,26.0,354.5385,0.241553,0.7308,,1,,0.6666666666666666,1.6303501945525292,0.11538461538461539,0.6666666666666666,435.7308,0.423,1.0,,
Lwx,FunPlus Phoenix,bot,Jinx,0,27.683333333333334,508.9344,0.319429,0.6863,,2,,0.8571428571428571,1.6432236995567997,0.14449127031908487,1.5,662.2757,0.4335,0.5,,
Lwx,FunPlus Phoenix,bot,Xayah,0,31.1,898.1994,0.473683,0.9325,,4,,0.7142857142857143,3.141122230968177,0.12861736334405144,1.25,443.4405,0.6753,4.0,,
Lwx,FunPlus Phoenix,bot,Jinx,0,34.1,426.217,0.32512,0.8211,,1,,1.0,1.293405713268666,0.05865102639296187,2.0,412.6686,0.7331000000000001,0.3333333333333333,,
Lwx,FunPlus Phoenix,bot,Varus,1,28.05,704.3137,0.353887,1.1052,,2,,0.3333333333333333,2.37280807110257,0.0,3.0,143.4938,0.7844,2.0,,
Lwx,FunPlus Phoenix,bot,Aphelios,1,42.63333333333333,804.0891,0.311003,1.1962,,6,,0.75,2.2241614221760853,0.09382329945269742,3.0,516.5207,0.821,1.0,,
Lwx,FunPlus Phoenix,bot,Aphelios,1,32.03333333333333,587.6379,0.251515,1.436,,5,,0.5714285714285714,1.6520975952255572,0.06243496357960458,4.0,245.0572,0.8116,1.6666666666666667,,
Lwx,FunPlus Phoenix,bot,Aphelios,1,27.316666666666666,553.3252,0.2343,1.2447,,3,,0.6,1.6310564368188194,0.036607687614399025,9.0,223.6364,0.7322,0.5,,
Lwx,FunPlus Phoenix,bot,Jinx,0,38.3,724.282,0.363404,0.8616,,3,,0.7,2.1455642354397093,0.05221932114882507,3.5,596.9974,0.4961,0.75,,
Lwx,FunPlus Phoenix,bot,Jinx,1,24.633333333333333,875.521,0.440255,1.0555,,4,,0.9230769230769231,2.0197602547293503,0.0,12.0,220.23,0.7713,0.5,,
Lwx,FunPlus Phoenix,bot,Jinx,0,34.53333333333333,662.0849,0.385907,1.1873,,3,,1.0,2.08822723536396,0.08687258687258688,1.6666666666666667,405.4923,0.7819,1.5,,
Lwx,FunPlus Phoenix,bot,Aphelios,1,30.066666666666666,769.6563,0.292069,0.9313,,5,,0.9166666666666666,2.1504507016076575,0.06651884700665188,5.5,518.4479,0.7317,0.8333333333333334,,
Lwx,FunPlus Phoenix,bot,Kai'Sa,0,27.683333333333334,447.9229,0.263371,0.6141,,5,,0.5555555555555556,2.0506036050934346,0.1806140878988561,1.0,559.0367,0.7224,5.0,,
Lwx,FunPlus Phoenix,bot,Jinx,1,35.05,751.6405,0.355478,1.1698,,11,,0.9375,2.161907106515674,0.05706134094151213,7.5,344.622,0.7704,2.75,,
Lwx,FunPlus Phoenix,bot,Aphelios,1,32.016666666666666,525.4138,0.260485,0.9995,,5,,0.7857142857142857,1.3421094622626457,0.031233732431025507,11.0,233.847,0.7183,0.8333333333333334,,
Lwx,FunPlus Phoenix,bot,Samira,0,23.466666666666665,232.4574,0.184049,0.8097,,0,,0.5,1.0349079870992222,0.2556818181818182,0.3333333333333333,513.4517,0.4688,0.0,,
Lwx,FunPlus Phoenix,bot,Xayah,0,26.266666666666666,472.4619,0.244777,0.6853,,3,,0.625,1.6378513923716511,0.15228426395939088,1.25,543.6929,0.533,1.5,,
Lwx,FunPlus Phoenix,bot,Kai'Sa,0,26.533333333333335,442.4246,0.245083,1.4698,,3,,0.8,1.240515692697876,0.07537688442211055,4.0,356.7588,1.3191,0.6,,
Lwx,FunPlus Phoenix,bot,Aphelios,0,24.033333333333335,408.5992,0.247743,0.3745,,3,,0.625,1.8181818181818181,0.16643550624133147,1.25,477.0042,0.3329,1.5,,
Lwx,FunPlus Phoenix,bot,Aphelios,0,29.95,284.5075,0.183616,1.0017,,3,,0.3333333333333333,1.221473623853211,0.1335559265442404,0.75,378.3639,0.5676,3.0,,
