gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,atakhans,opp_atakhans,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
2054-2047,partial,https://lpl.qq.com/es/stats.shtml?bmid=2054,LPL,2017,Spring,0,2017-04-08 09:08:00,1,7.06,100,Blue,team,,,EDward Gaming,oe:team:056c3140a119e44a03d462e2c832f27,,Talon,Malzahar,Elise,Kog'Maw,Ezreal,Graves,Nautilus,Caitlyn,Karma,Taliyah,1964,1,13,0,35,13,0,,,,,,,,,0.3971,0.3971,,3.0,0.0,,,,,,,,,3.0,,,,0.0,0.0,,,,1.0,0.0,,,,11.0,0.0,,,,,,,,,,,,,,,,,,,61600.0,,,,,,,988.0,,,,,30.1833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2054-2047,partial,https://lpl.qq.com/es/stats.shtml?bmid=2054,LPL,2017,Spring,0,2017-04-08 09:08:00,1,7.06,200,Red,team,,,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,,Ashe,Varus,Syndra,Thresh,Zyra,Lulu,Gragas,Lee Sin,Lucian,Vladimir,1964,0,0,13,0,0,13,,,,,,,,,0.0,0.3971,,0.0,3.0,,,,,,,,,0.0,,,,0.0,0.0,,,,0.0,1.0,,,,0.0,11.0,,,,,,,,,,,,,,,,,,,46700.0,,,,,,,1004.0,,,,,30.6721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596-2099,partial,https://lpl.qq.com/es/stats.shtml?bmid=1596,LPL,2017,Spring,0,2017-04-15 06:48:00,2,7.06,1,Blue,top,Xiyang,oe:player:44520ade85036cb4df0e9c33de1a2bd,Oh My God,oe:team:f4c4528c6981e104a11ea7548630c23,Nautilus,,,,,,,,,,,2385,0,1,4,5,12,22,,,,,,,,,0.3019,0.8553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13200.0,8079.0,203.2453,0.191923,,,,303.0,,,,,7.6226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596-2099,partial,https://lpl.qq.com/es/stats.shtml?bmid=1596,LPL,2017,Spring,0,2017-04-15 06:48:00,2,7.06,2,Blue,jng,World6,oe:player:c5b867b70250ef020bcfd00fdac2953,Oh My God,oe:team:f4c4528c6981e104a11ea7548630c23,Rengar,,,,,,,,,,,2385,0,1,8,5,12,22,,,,,,,,,0.3019,0.8553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11900.0,6779.0,170.5409,0.161042,,,,150.0,,,,,3.7736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596-2099,partial,https://lpl.qq.com/es/stats.shtml?bmid=1596,LPL,2017,Spring,0,2017-04-15 06:48:00,2,7.06,3,Blue,mid,ICON,oe:player:dd912956b69fb3e570820021206968a,Oh My God,oe:team:f4c4528c6981e104a11ea7548630c23,Taliyah,,,,,,,,,,,2385,0,2,3,6,12,22,,,,,,,,,0.3019,0.8553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14900.0,9779.0,246.0126,0.232306,,,,349.0,,,,,8.7799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596-2099,partial,https://lpl.qq.com/es/stats.shtml?bmid=1596,LPL,2017,Spring,0,2017-04-15 06:48:00,2,7.06,4,Blue,bot,Smlz,oe:player:0adcab3b316aa2ec4df93b59b612709,Oh My God,oe:team:f4c4528c6981e104a11ea7548630c23,Lucian,,,,,,,,,,,2385,0,7,4,4,12,22,,,,,,,,,0.3019,0.8553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18000.0,12879.0,324.0,0.305946,,,,408.0,,,,,10.2642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596-2099,partial,https://lpl.qq.com/es/stats.shtml?bmid=1596,LPL,2017,Spring,0,2017-04-15 06:48:00,2,7.06,5,Blue,sup,COLD,oe:player:3f7ff4daa99912d1b0c8c64340edb9f,Oh My God,oe:team:f4c4528c6981e104a11ea7548630c23,Nami,,,,,,,,,,,2385,0,1,3,10,12,22,,,,,,,,,0.3019,0.8553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9700.0,4579.0,115.195,0.108782,,,,14.0,,,,,0.3522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596-2099,partial,https://lpl.qq.com/es/stats.shtml?bmid=1596,LPL,2017,Spring,0,2017-04-15 06:48:00,2,7.06,6,Red,top,Duke,oe:player:1a8b6a662905090813591d4993feefa,Invictus Gaming,oe:team:53a258f289c26d94431c0496a54e151,Maokai,,,,,,,,,,,2385,1,4,3,8,22,12,,,,,,,,,0.5535,0.8553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15300.0,10179.0,256.0755,0.202789,,,,306.0,,,,,7.6981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596-2099,partial,https://lpl.qq.com/es/stats.shtml?bmid=1596,LPL,2017,Spring,0,2017-04-15 06:48:00,2,7.06,7,Red,jng,Rio,oe:player:82984b2fe187ac652726ddea2dd092c,Invictus Gaming,oe:team:53a258f289c26d94431c0496a54e151,Graves,,,,,,,,,,,2385,1,5,2,12,22,12,,,,,,,,,0.5535,0.8553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15500.0,10379.0,261.1069,0.206773,,,,206.0,,,,,5.1824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596-2099,partial,https://lpl.qq.com/es/stats.shtml?bmid=1596,LPL,2017,Spring,0,2017-04-15 06:48:00,2,7.06,8,Red,mid,Rookie,oe:player:1213778b5c6d69dcb26aa89f7d0aaa9,Invictus Gaming,oe:team:53a258f289c26d94431c0496a54e151,Viktor,,,,,,,,,,,2385,1,6,2,14,22,12,,,,,,,,,0.5535,0.8553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16900.0,11779.0,296.327,0.234663,,,,323.0,,,,,8.1258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596-2099,partial,https://lpl.qq.com/es/stats.shtml?bmid=1596,LPL,2017,Spring,0,2017-04-15 06:48:00,2,7.06,9,Red,bot,Kid,oe:player:eead4a0e1ca42500ee379c3ead73cfd,Invictus Gaming,oe:team:53a258f289c26d94431c0496a54e151,Ashe,,,,,,,,,,,2385,1,6,3,14,22,12,,,,,,,,,0.5535,0.8553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16300.0,11179.0,281.2327,0.222711,,,,275.0,,,,,6.9182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
